source_file,question_number,question_type,category,format,question_text,choices,answer,predicted_concept,confidence
rounds/round1.txt,1,TOSSUP,BIOLOGY,Short Answer,What is the most common term used in genetics to describe the observable physical characteri stics of an organism caused by the expression of a gene or set of genes?,,PHENOTYPE,genetics,0.6799155473709106
rounds/round1.txt,1,BONUS,BIOLOGY,Short Answer,What is the biological term most often used for the act of a cell engulfing a particle by extending its pseudopodia (read as: SU -doe-POH- dee-ah) around the particle?,,PHAGOCYTOSIS,cell_biology,0.47966280579566956
rounds/round1.txt,2,TOSSUP,CHEMISTRY,Multiple Choice,An aqueous sol ution in which the concentration of OH – ions is greater than that of H+ ions is:,W) basic X)  acidic | Y) neutral | Z) in equilibrium,W) BASIC,acids_bases,0.6381850242614746
rounds/round1.txt,2,BONUS,CHEMISTRY,Short Answer,"Find the mass of 1 mole of cuprous oxide, or Cu 2O. Assume the atomic mass of copper is 64 and oxygen is 16.",,144,stoichiometry,0.4725199043750763
rounds/round1.txt,3,BONUS,PHYSICS,Short Answer,What is the MOST common term for the behavior of light where it appears to bend around small obstacles or the spreading out of waves as light passes through pinholes or slits?,,DIFFRACTION,optics,0.530187726020813
rounds/round1.txt,4,TOSSUP,MATH,Short Answer,What term BEST describes 2 angles with 90º as the sum of their measurements?,,COMPLEMENTARY,trigonometry,0.6402588486671448
rounds/round1.txt,4,BONUS,MATH,Short Answer,Divide the following and give your answer in scientific notation: 21 47 )104(108 ××,,4 × 10,stoichiometry,0.5214728116989136
rounds/round1.txt,6,TOSSUP,GENERAL SCIENCE,Short Answer,How many significant figures are in the number 0.00750?,,3,stoichiometry,0.39802443981170654
rounds/round1.txt,6,BONUS,GENERAL SCIENCE,Short Answer,Subtract the following 2 numbers and give your answer with the proper significant figures: 25.101 – 0.9608 ANSWER: 24.140 High School Round 1 Page 4 TOSS -UP 7) ASTRONOMY Short Answer Wh at is the proper name of the star that is most commonly noted to have coordinates closest to the north celestial pole?,,NORTH STAR (ACCEPT: POLARIS or ALPHA URSA MINORIS ),astronomy,0.3667795956134796
rounds/round1.txt,7,BONUS,EARTH AND SPACE,Short Answer,What is the most well- known asterism in Ursa Major?,,BIG DIPPER,geology,0.23900339007377625
rounds/round1.txt,8,TOSSUP,BIOLOGY,Multiple Choice,Human epidermis is mostly composed of which of the following basic animal tissues types: W) epithelial X) connective,Y) nervous | Z) muscle,W) EPITHELIAL,cell_biology,0.382701575756073
rounds/round1.txt,8,BONUS,BIOLOGY,Short Answer,What are the 2 basic categories of lymphocyte cells?,,T AND B (ACCEPT: B AND T CELLS),cell_biology,0.527000367641449
rounds/round1.txt,9,BONUS,CHEMISTRY,Short Answer,Name all of the following 4 processes where latent heat is absorbed: evaporation; condensation; water melts; water freezes,,EVAPORATION; WATER MELTS,thermodynamics,0.5520882606506348
rounds/round1.txt,10,TOSSUP,PHYSICS,Short Answer,"Although not known as such at the time, what was the first form of spectacular electric discharge seen by humans?",,LIGHT NING,redox,0.29930585622787476
rounds/round1.txt,10,BONUS,PHYSICS,Multiple Choice,A constant force acting on a body experiencing no change in its environment will g ive the body:,W) constant acceleration | X) constant speed | Y) constant velocity | Z) zero acceleration,W) CONSTANT ACCELERATION,mechanics,0.5314980149269104
rounds/round1.txt,11,BONUS,MATH,Short Answer,"Giving your answer in inches and in simplest radical form, if the hypotenuse of a 45 -45-90º triangle is 10 inches, find the length of the other sides: ANSWE R: 5 2 (ACCEPT: BOTH 5 2)",,,trigonometry,0.49409419298171997
rounds/round1.txt,12,TOSSUP,EARTH AND SPACE,Multiple Choice,Which of the following is a sedimentary rock:,W) slate | X) marble | Y) basalt | Z) sandstone,Z) SANDSTONE,geology,0.5990815162658691
rounds/round1.txt,12,BONUS,EARTH AND SPACE,Multiple Choice,Which of the following is LEAST accurate about minerals: W) calcite has a hardness of 3 on most of its surfaces but a hardness of 4 along the crystal face perpendicular to its long axis,X) the Moh’s scale measures the absolute hardness of minerals | Y) a mineral’s chemical composition largely determines its crystal shape and cleavage pattern | Z) a mineral’s color is the same as its streak,Z) A MINERAL’S COLOR IS THE SAME AS ITS STREAK,geology,0.494292676448822
rounds/round1.txt,13,BONUS,GENERAL SCIENCE,Short Answer,"Rounded to the nearest whole number, how many feet does light travel in one -billionth of one second?",,1,astronomy,0.4981778562068939
rounds/round1.txt,14,TOSSUP,EARTH AND SPACE,Short Answer,What star has the greatest apparent magnitude?,,SUN,astronomy,0.523635983467102
rounds/round1.txt,14,BONUS,EARTH AND SPACE,Short Answer,What planet is known to be most like Earth in size and density?,,VENUS,astronomy,0.43373554944992065
rounds/round1.txt,15,BONUS,BIOLOGY,Short Answer,Name all of the following 5 plants that are dicots: wheat; geran ium; garlic; bamboo; ro se,,GERANIUM; ROSE,ecology,0.29216715693473816
rounds/round1.txt,16,TOSSUP,CHEMISTRY,Multiple Choice,"Which of the following is a metallic element, composes about 5% of the Earth’s crust, oxidizes very easily, and when pure is a dark, silver -grey metal:",W) cobalt | X) nickel | Y) iro n | Z) titanium,Y) IRON,redox,0.3753563463687897
rounds/round1.txt,16,BONUS,CHEMISTRY,Short Answer,"In general, metals are relatively hard except for what group of metals in the Periodic Table?",,ONE (ACCEPT: GROUP 1A or ALKALI METALS),bonding,0.43859535455703735
rounds/round1.txt,17,BONUS,PHYSICS,Multiple Choice,Mary and Joe are on a merry -go-round. Mary is seated near the center of rotation and Joe is on the outer edge. Which of the following BEST describes their motion:,W) Mary has a greater acceleration than Joe | X) Joe has a greater acceleration than Mary | Y) neither Mary nor Joe are accelerating | Z) both Mary and Joe have the same acceleration,X) JOE HAS A GREATER ACCELERATION THAN MARY,rotational_motion,0.4906272888183594
rounds/round1.txt,18,TOSSUP,MATH,Short Answer,"Giving your answer in terms of π and in inches, what is the arc -length of a semi -circle whose diameter is 18 inches?",,9π,geometry,0.44166651368141174
rounds/round1.txt,18,BONUS,MATH,Short Answer,"What is the area, in square feet, of a triangle whose perpendicular height is 20 feet with a base of 12 feet? ANSWE R: 120 (Solution: A = ½ bh = ½ (12)(20) = 120 ft 2) High School Round 1 Page 10 TOSS -UP 19) EARTH SCIENCE Multiple Choice Which of the following terms best describes the albedo of a planet:",W) electromagnetic energy | X) density | Y) reflectivity | Z) absorption,Y ) REFLECTIVITY,geometry,0.336195707321167
rounds/round1.txt,19,BONUS,EARTH AND SPACE,Multiple Choice,Which of the following is NOT true of what occurs during an equinox:,W) equal length of day and night except at the poles | X) the Earth is not tilted with respect to the ecliptic | Y) the Sun is di rectly overhead at the equator | Z) the Moon is directly overhead at the poles,Z) THE MOON IS DIRECTLY OVERHEAD AT THE POLES,astronomy,0.2933604121208191
rounds/round1.txt,20,TOSSUP,GENERAL SCIENCE,Short Answer,What gas is most directly responsible for the bends or decompression sickness that divers may experience?,,NITROGEN (ACCEPT: N,oceanography,0.38974934816360474
rounds/round1.txt,20,BONUS,GENERAL SCIENCE,Short Answer,"In degrees Celsius to the nearest whole number, what is the normal core body temperature of a human being?",,37,thermodynamics_physics,0.46492451429367065
rounds/round1.txt,21,BONUS,EARTH AND SPACE,Short Answer,The Sagittarius Arm is part of what galaxy?,,THE MILKY WAY,astronomy,0.35130587220191956
rounds/round1.txt,22,TOSSUP,BIOLOGY,Multiple Choice,"If a plant had a taproot , it would also most likely have:",W) parallel leaf venation | X) two cotyledons in its seedling stage | Y) diffusely arranged vascular bundles in its stem | Z) no stomata on the upper surfaces of its leaves,X) TWO COTYLEDONS IN ITS SEEDLING STAGE,ecology,0.3701164126396179
rounds/round1.txt,22,BONUS,BIOLOGY,Short Answer,"Using the traditional system of classification, when organisms belong to the same class, name all of the following 4 taxonomic categories to whi ch they must also belong: order; family; phylum; kingdom",,PHYLUM; KINGDOM,ecology,0.4395270347595215
rounds/round1.txt,23,BONUS,CHEMISTRY,Short Answer,"Of the following g roup of 4 cations, which are the LARGEST and SMALLEST ions, respectively: K +; Na+; Rb+; Li+",,LARGEST = Rb,acids_bases,0.476429283618927
rounds/round1.txt,24,TOSSUP,PHYSICS,Multiple Choice,"Martin is swinging a yo -yo in a large room with a circular motion perpendicular to a level floor. If the yo- yo breaks away from its string at the top of the yo -yo’s circular path, in what direction will the yo -yo initially move :","W) at an angle between horizontal and vertical | X) straight up, toward the ceiling | Y) straight down, to the floor | Z) horizontally, tangent to its original circular path","Z) HORIZONTALLY, TANGENT TO ITS ORIGINAL CIRCULAR PATH",rotational_motion,0.41801488399505615
rounds/round1.txt,24,BONUS,PHYSICS,Short Answer,What is the BEST term for the tendency of any mas s at rest to remain at rest?,,INERTIA,thermodynamics,0.3808901309967041
rounds/round1.txt,25,BONUS,BIOLOGY,Short Answer,Name all of the following 3 processes that do NOT occur in E. coli : glycolysis; photosynthesis; glycogenolysis (read as: GLYKO -jen-oh-LY-sis),,PHOTOSYNTHESIS,biochemistry,0.5159084796905518
rounds/round2.txt,1,TOSSUP,BIOLOGY,Multiple Choice,With which of the following does human interstitial fluid differ in concentration the most when compared with plasma:,W) sodium ions | X) potassium ions | Y) magnesium ions | Z) protein s,Z) PROTEINS,anatomy_physiology,0.3399537205696106
rounds/round2.txt,1,BONUS,BIOLOGY,Short Answer,What human organ produces the majority of immune complement proteins?,,LIVER,anatomy_physiology,0.49726402759552
rounds/round2.txt,2,TOSSUP,CHEMISTRY,Multiple Choice,Which of the following is a diprotic acid: 2C2O4,W) H | X) H 3PO 4 | Y) HCl | Z) HNO 2,W) H,organic_chemistry,0.5054082870483398
rounds/round2.txt,2,BONUS,CHEMISTRY,Multiple Choice,Which of the following statements is NOT true:,"W) an ideal gas cannot undergo condensation X)  the less mass a particle has, the faster it will effuse | Y) when a gas is compressed, its temperature always increases | Z) a gas is easier to compress than a liquid","Y) WHEN A GAS IS COMPRESSED, ITS TEMPERATURE ALWAYS INCREASES",algebra,0.284403920173645
rounds/round2.txt,3,BONUS,PHYSICS,Multiple Choice,Which of the following is the abbreviated name of the most common field effect transistor in modern electronic circuitry:,W) DET | X) MOSFET | Y) BJT | Z) BFET,X ) MOSFET,redox,0.2973976731300354
rounds/round2.txt,4,TOSSUP,MATH,Short Answer,"Find the cotangent and cosecant, respectively, of a 90º angle :",,COTAN = 0; COSECANT = 1,trigonometry,0.5795211791992188
rounds/round2.txt,4,BONUS,MATH,Multiple Choice,"Which of the following points is closest to the point (1, –2):","W) (3, –5) | X) (0, 3) | Y) (3, 0) | Z) (–5, –5)","Y) (3, 0)",geometry,0.3436012268066406
rounds/round2.txt,5,BONUS,EARTH AND SPACE,Multiple Choice,Which of the following BEST explains why Mono Lake in California is hypersaline:,W) it has no outlet and a high evaporation rate | X) it is subject to extreme saltwater intrusion emanating fr om a vast system of underground aquifers | Y) it is underlain by massive salt domes formed 250 million years ago | Z) it has been subjected to periodic eruptions of volcanic ash,W) IT HAS NO OUTLET AND A HIGH EVAPORATION RATE,oceanography,0.4555898904800415
rounds/round2.txt,6,BONUS,GENERAL SCIENCE,Short Answer,A 25 -microliter blood serum sample contai ns 50 micrograms of an enzyme. What is the enzyme concentration in parts per million?,,"2,000 (ACCEPT: 2 × 10",stoichiometry,0.4069972634315491
rounds/round2.txt,7,BONUS,EARTH AND SPACE,Multiple Choice,"Which of the following most directly addresses that a gas of low de nsity, when excited, will emit light of a certain wavelength:",W) Kirchhoff’s second law | X) Bode’s second law | Y) Wien’s law | Z) Balmer’s law,W) KIRCHHOFF’S SECOND LAW,modern_physics,0.4584316611289978
